Label,Number of Links,Number of Domains,Number of Dots,Contains JavaScript
HAM,1,0,2,True
HAM,502,0,4,True
HAM,1,0,2,False
SPAM,9,0,2,True
HAM,1,0,0,True
HAM,0,0,0,True
SPAM,0,0,0,False
SPAM,0,0,0,False
HAM,1,0,0,True
SPAM,0,0,0,True
HAM,37,0,4,True
HAM,58,0,8,True
HAM,0,0,0,True
HAM,0,0,0,False
HAM,0,0,0,True
HAM,1,0,2,False
SPAM,25,0,2,True
HAM,102,1,5,True
HAM,180,0,4,True
HAM,44,0,5,True
HAM,237,1,5,True
SPAM,0,0,0,False
SPAM,0,0,0,False
HAM,237,1,5,True
SPAM,4,2,2,False
HAM,45,0,7,True
HAM,8,0,21,True
SPAM,0,0,0,True
HAM,1,0,3,True
HAM,61,0,8,True
HAM,0,0,0,True
SPAM,0,0,0,False
HAM,7,0,122,True
HAM,39,2,5,True
SPAM,0,0,0,False
SPAM,0,0,0,False
HAM,184,4,4,True
HAM,150,2,6,True
SPAM,0,0,0,True
SPAM,0,0,0,False
HAM,36,0,2,True
HAM,0,0,0,True
SPAM,0,0,0,False
SPAM,0,0,0,False
HAM,181,0,6,True
HAM,3,0,4,True
HAM,140,1,4,True
SPAM,73,0,4,True
SPAM,0,0,0,False
HAM,0,0,0,True
HAM,40,0,6,True
HAM,0,0,0,True
HAM,23,0,2,True
HAM,0,0,0,True
SPAM,0,0,0,False
HAM,0,0,0,True
HAM,1,0,2,False
HAM,3,0,0,True
HAM,31,1,4,True
SPAM,0,0,0,True
HAM,13,1,191,True
SPAM,0,0,0,False
HAM,1,0,2,False
HAM,74,3,6,True
SPAM,1,1,2,False
SPAM,0,0,0,False
HAM,0,0,0,True
HAM,0,0,0,False
HAM,1,0,2,False
HAM,144,0,3,True
HAM,1,0,2,False
HAM,33,1,3,True
HAM,1,1,1,True
HAM,1475,2,5,True
HAM,195,1,7,True
HAM,5,0,1,True
HAM,91,0,2,True
HAM,68,0,4,True
HAM,24,0,3,True
HAM,7,0,3,True
SPAM,0,0,0,False
HAM,0,0,0,True
SPAM,0,0,0,False
SPAM,1,1,1,True
SPAM,0,0,0,False
HAM,1,0,0,True
HAM,1,0,0,False
HAM,21,0,3,True
HAM,1,0,2,False
SPAM,0,0,0,True
HAM,2,0,0,True
SPAM,0,0,0,False
SPAM,0,0,0,True
HAM,270,1,4,True
SPAM,6,0,0,True
SPAM,0,0,0,False
SPAM,0,0,0,False
HAM,54,0,2,True
HAM,153,0,3,True
SPAM,0,0,0,False
HAM,1,0,2,False
SPAM,0,0,0,False
SPAM,33,0,3,True
HAM,63,0,2,True
HAM,60,0,8,True
SPAM,0,0,0,False
SPAM,0,0,0,False
HAM,121,1,6,True
HAM,216,6,4,True
HAM,0,0,0,False
HAM,76,1,3,True
HAM,37,0,4,True
SPAM,0,0,0,False
HAM,2,0,2,True
SPAM,0,0,0,False
HAM,0,0,0,False
SPAM,1,0,2,True
HAM,75,1,2,True
HAM,91,0,2,True
SPAM,0,0,0,False
HAM,0,0,0,True
